palabra,muestras,longitud,seleccionada,motivo_exclusion,metrica_exclusion,umbral_exclusion,similar_a,similitud_fonetica,f1_preliminar
crear,95,5,no,frecuencia_insuficiente,95.0,1000.0,,,
crearon,27,7,no,frecuencia_insuficiente,27.0,1000.0,,,
crearse,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
creas,11,5,no,frecuencia_insuficiente,11.0,1000.0,,,
creaste,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
creativa,15,8,no,frecuencia_insuficiente,15.0,1000.0,,,
creativas,7,9,no,frecuencia_insuficiente,7.0,1000.0,,,
creative,7,8,no,frecuencia_insuficiente,7.0,1000.0,,,
creatividad,7,11,no,frecuencia_insuficiente,7.0,1000.0,,,
creativo,17,8,no,frecuencia_insuficiente,17.0,1000.0,,,
crece,89,5,no,frecuencia_insuficiente,89.0,1000.0,,,
crecen,34,6,no,frecuencia_insuficiente,34.0,1000.0,,,
crecer,39,6,no,frecuencia_insuficiente,39.0,1000.0,,,
crecidas,6,8,no,frecuencia_insuficiente,6.0,1000.0,,,
crecido,34,7,no,frecuencia_insuficiente,34.0,1000.0,,,
creciendo,27,9,no,frecuencia_insuficiente,27.0,1000.0,,,
creciente,20,9,no,frecuencia_insuficiente,20.0,1000.0,,,
crecieron,9,9,no,frecuencia_insuficiente,9.0,1000.0,,,
crecimiento,129,11,no,frecuencia_insuficiente,129.0,1000.0,,,
creció,182,6,no,frecuencia_insuficiente,182.0,1000.0,,,
crecía,7,6,no,frecuencia_insuficiente,7.0,1000.0,,,
credibilidad,6,12,no,frecuencia_insuficiente,6.0,1000.0,,,
cree,118,4,no,frecuencia_insuficiente,118.0,1000.0,,,
creed,3,5,no,frecuencia_insuficiente,3.0,1000.0,,,
creek,16,5,no,frecuencia_insuficiente,16.0,1000.0,,,
creen,23,5,no,frecuencia_insuficiente,23.0,1000.0,,,
creencia,16,8,no,frecuencia_insuficiente,16.0,1000.0,,,
creencias,32,9,no,frecuencia_insuficiente,32.0,1000.0,,,
creer,40,5,no,frecuencia_insuficiente,40.0,1000.0,,,
creerse,5,7,no,frecuencia_insuficiente,5.0,1000.0,,,
crees,24,5,no,frecuencia_insuficiente,24.0,1000.0,,,
crema,56,5,no,frecuencia_insuficiente,56.0,1000.0,,,
cremado,4,7,no,frecuencia_insuficiente,4.0,1000.0,,,
cremados,3,8,no,frecuencia_insuficiente,3.0,1000.0,,,
cremallera,4,10,no,frecuencia_insuficiente,4.0,1000.0,,,
crematorio,8,10,no,frecuencia_insuficiente,8.0,1000.0,,,
cremosa,4,7,no,frecuencia_insuficiente,4.0,1000.0,,,
cremoso,8,7,no,frecuencia_insuficiente,8.0,1000.0,,,
creo,169,4,no,frecuencia_insuficiente,169.0,1000.0,,,
crepúsculos,3,11,no,frecuencia_insuficiente,3.0,1000.0,,,
crespo,8,6,no,frecuencia_insuficiente,8.0,1000.0,,,
crespos,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
cresta,15,6,no,frecuencia_insuficiente,15.0,1000.0,,,
crestas,13,7,no,frecuencia_insuficiente,13.0,1000.0,,,
creta,9,5,no,frecuencia_insuficiente,9.0,1000.0,,,
cretácico,16,9,no,frecuencia_insuficiente,16.0,1000.0,,,
creyendo,5,8,no,frecuencia_insuficiente,5.0,1000.0,,,
creyente,4,8,no,frecuencia_insuficiente,4.0,1000.0,,,
creyentes,5,9,no,frecuencia_insuficiente,5.0,1000.0,,,
creyó,12,5,no,frecuencia_insuficiente,12.0,1000.0,,,
creí,6,4,no,frecuencia_insuficiente,6.0,1000.0,,,
creía,24,5,no,frecuencia_insuficiente,24.0,1000.0,,,
creían,8,6,no,frecuencia_insuficiente,8.0,1000.0,,,
creído,4,6,no,frecuencia_insuficiente,4.0,1000.0,,,
creó,105,4,no,frecuencia_insuficiente,105.0,1000.0,,,
criaban,4,7,no,frecuencia_insuficiente,4.0,1000.0,,,
criada,21,6,no,frecuencia_insuficiente,21.0,1000.0,,,
criado,44,6,no,frecuencia_insuficiente,44.0,1000.0,,,
criados,25,7,no,frecuencia_insuficiente,25.0,1000.0,,,
crianza,8,7,no,frecuencia_insuficiente,8.0,1000.0,,,
criar,5,5,no,frecuencia_insuficiente,5.0,1000.0,,,
criatura,23,8,no,frecuencia_insuficiente,23.0,1000.0,,,
criaturas,15,9,no,frecuencia_insuficiente,15.0,1000.0,,,
cricket,7,7,no,frecuencia_insuficiente,7.0,1000.0,,,
crimea,16,6,no,frecuencia_insuficiente,16.0,1000.0,,,
crimen,44,6,no,frecuencia_insuficiente,44.0,1000.0,,,
criminal,15,8,no,frecuencia_insuficiente,15.0,1000.0,,,
criminales,8,10,no,frecuencia_insuficiente,8.0,1000.0,,,
criminalidad,2,12,no,frecuencia_insuficiente,2.0,1000.0,,,
crines,3,6,no,frecuencia_insuficiente,3.0,1000.0,,,
crio,63,4,no,frecuencia_insuficiente,63.0,1000.0,,,
criolla,24,7,no,frecuencia_insuficiente,24.0,1000.0,,,
criollas,7,8,no,frecuencia_insuficiente,7.0,1000.0,,,
criollos,3,8,no,frecuencia_insuficiente,3.0,1000.0,,,
cripta,15,6,no,frecuencia_insuficiente,15.0,1000.0,,,
crisis,68,6,no,frecuencia_insuficiente,68.0,1000.0,,,
crisma,3,6,no,frecuencia_insuficiente,3.0,1000.0,,,
cristal,47,7,no,frecuencia_insuficiente,47.0,1000.0,,,
cristaleras,4,11,no,frecuencia_insuficiente,4.0,1000.0,,,
cristales,38,9,no,frecuencia_insuficiente,38.0,1000.0,,,
cristalinas,6,11,no,frecuencia_insuficiente,6.0,1000.0,,,
cristalino,6,10,no,frecuencia_insuficiente,6.0,1000.0,,,
cristiana,51,9,no,frecuencia_insuficiente,51.0,1000.0,,,
cristianamente,1,14,no,frecuencia_insuficiente,1.0,1000.0,,,
cristianas,21,10,no,frecuencia_insuficiente,21.0,1000.0,,,
cristiandad,4,11,no,frecuencia_insuficiente,4.0,1000.0,,,
cristianismo,39,12,no,frecuencia_insuficiente,39.0,1000.0,,,
cristiano,41,9,no,frecuencia_insuficiente,41.0,1000.0,,,
cristianos,48,10,no,frecuencia_insuficiente,48.0,1000.0,,,
cristina,32,8,no,frecuencia_insuficiente,32.0,1000.0,,,
cristián,8,8,no,frecuencia_insuficiente,8.0,1000.0,,,
cristo,72,6,no,frecuencia_insuficiente,72.0,1000.0,,,
cristóbal,31,9,no,frecuencia_insuficiente,31.0,1000.0,,,
criterio,15,8,no,frecuencia_insuficiente,15.0,1000.0,,,
criterios,25,9,no,frecuencia_insuficiente,25.0,1000.0,,,
critica,12,7,no,frecuencia_insuficiente,12.0,1000.0,,,
criticada,11,9,no,frecuencia_insuficiente,11.0,1000.0,,,
criticadas,5,10,no,frecuencia_insuficiente,5.0,1000.0,,,
criticado,24,9,no,frecuencia_insuficiente,24.0,1000.0,,,
criticar,4,8,no,frecuencia_insuficiente,4.0,1000.0,,,
criticaron,3,10,no,frecuencia_insuficiente,3.0,1000.0,,,
criticó,8,7,no,frecuencia_insuficiente,8.0,1000.0,,,
crió,16,4,no,frecuencia_insuficiente,16.0,1000.0,,,
croacia,32,7,no,frecuencia_insuficiente,32.0,1000.0,,,
croata,15,6,no,frecuencia_insuficiente,15.0,1000.0,,,
croatas,9,7,no,frecuencia_insuficiente,9.0,1000.0,,,
cromatismo,6,10,no,frecuencia_insuficiente,6.0,1000.0,,,
cromosomas,3,10,no,frecuencia_insuficiente,3.0,1000.0,,,
cromwell,5,8,no,frecuencia_insuficiente,5.0,1000.0,,,
cronista,13,8,no,frecuencia_insuficiente,13.0,1000.0,,,
cronistas,4,9,no,frecuencia_insuficiente,4.0,1000.0,,,
cronoestratigráfico,1,19,no,frecuencia_insuficiente,1.0,1000.0,,,
cronología,8,10,no,frecuencia_insuficiente,8.0,1000.0,,,
cronológicamente,3,16,no,frecuencia_insuficiente,3.0,1000.0,,,
cronológico,5,11,no,frecuencia_insuficiente,5.0,1000.0,,,
croquetas,7,9,no,frecuencia_insuficiente,7.0,1000.0,,,
cross,13,5,no,frecuencia_insuficiente,13.0,1000.0,,,
crown,3,5,no,frecuencia_insuficiente,3.0,1000.0,,,
cruce,22,5,no,frecuencia_insuficiente,22.0,1000.0,,,
crucero,39,7,no,frecuencia_insuficiente,39.0,1000.0,,,
cruceros,8,8,no,frecuencia_insuficiente,8.0,1000.0,,,
crucería,15,8,no,frecuencia_insuficiente,15.0,1000.0,,,
cruces,16,6,no,frecuencia_insuficiente,16.0,1000.0,,,
crucial,13,7,no,frecuencia_insuficiente,13.0,1000.0,,,
crucificado,7,11,no,frecuencia_insuficiente,7.0,1000.0,,,
crucifijo,6,9,no,frecuencia_insuficiente,6.0,1000.0,,,
crucifixión,3,11,no,frecuencia_insuficiente,3.0,1000.0,,,
cruciforme,2,10,no,frecuencia_insuficiente,2.0,1000.0,,,
crucis,3,6,no,frecuencia_insuficiente,3.0,1000.0,,,
crucé,5,5,no,frecuencia_insuficiente,5.0,1000.0,,,
cruda,8,5,no,frecuencia_insuficiente,8.0,1000.0,,,
crudas,6,6,no,frecuencia_insuficiente,6.0,1000.0,,,
crudo,10,5,no,frecuencia_insuficiente,10.0,1000.0,,,
cruel,16,5,no,frecuencia_insuficiente,16.0,1000.0,,,
crueldad,16,8,no,frecuencia_insuficiente,16.0,1000.0,,,
crueles,8,7,no,frecuencia_insuficiente,8.0,1000.0,,,
cruje,5,5,no,frecuencia_insuficiente,5.0,1000.0,,,
crujiente,7,9,no,frecuencia_insuficiente,7.0,1000.0,,,
crush,5,5,no,frecuencia_insuficiente,5.0,1000.0,,,
crustáceos,39,10,no,frecuencia_insuficiente,39.0,1000.0,,,
cruz,222,4,no,frecuencia_insuficiente,222.0,1000.0,,,
cruza,22,5,no,frecuencia_insuficiente,22.0,1000.0,,,
cruzaban,8,8,no,frecuencia_insuficiente,8.0,1000.0,,,
cruzada,15,7,no,frecuencia_insuficiente,15.0,1000.0,,,
cruzadas,8,8,no,frecuencia_insuficiente,8.0,1000.0,,,
cruzado,9,7,no,frecuencia_insuficiente,9.0,1000.0,,,
cruzados,14,8,no,frecuencia_insuficiente,14.0,1000.0,,,
cruzan,5,6,no,frecuencia_insuficiente,5.0,1000.0,,,
cruzando,7,8,no,frecuencia_insuficiente,7.0,1000.0,,,
cruzar,41,6,no,frecuencia_insuficiente,41.0,1000.0,,,
cruzaron,8,8,no,frecuencia_insuficiente,8.0,1000.0,,,
cruzó,7,5,no,frecuencia_insuficiente,7.0,1000.0,,,
cry,4,3,no,frecuencia_insuficiente,4.0,1000.0,,,
crystal,4,7,no,frecuencia_insuficiente,4.0,1000.0,,,
cráneo,38,6,no,frecuencia_insuficiente,38.0,1000.0,,,
cráneos,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
cráter,105,6,no,frecuencia_insuficiente,105.0,1000.0,,,
cráteres,39,8,no,frecuencia_insuficiente,39.0,1000.0,,,
cría,79,4,no,frecuencia_insuficiente,79.0,1000.0,,,
crían,8,5,no,frecuencia_insuficiente,8.0,1000.0,,,
crías,12,5,no,frecuencia_insuficiente,12.0,1000.0,,,
crímenes,17,8,no,frecuencia_insuficiente,17.0,1000.0,,,
críos,5,5,no,frecuencia_insuficiente,5.0,1000.0,,,
crítica,172,7,no,frecuencia_insuficiente,172.0,1000.0,,,
críticas,224,8,no,frecuencia_insuficiente,224.0,1000.0,,,
crítico,50,7,no,frecuencia_insuficiente,50.0,1000.0,,,
críticos,144,8,no,frecuencia_insuficiente,144.0,1000.0,,,
crónica,29,7,no,frecuencia_insuficiente,29.0,1000.0,,,
crónicas,22,8,no,frecuencia_insuficiente,22.0,1000.0,,,
crónico,4,7,no,frecuencia_insuficiente,4.0,1000.0,,,
cuadernos,7,9,no,frecuencia_insuficiente,7.0,1000.0,,,
cuadra,40,6,no,frecuencia_insuficiente,40.0,1000.0,,,
cuadrada,27,8,no,frecuencia_insuficiente,27.0,1000.0,,,
cuadradas,8,9,no,frecuencia_insuficiente,8.0,1000.0,,,
cuadrado,21,8,no,frecuencia_insuficiente,21.0,1000.0,,,
cuadrados,24,9,no,frecuencia_insuficiente,24.0,1000.0,,,
cuadrangular,19,12,no,frecuencia_insuficiente,19.0,1000.0,,,
cuadrangulares,2,14,no,frecuencia_insuficiente,2.0,1000.0,,,
cuadrante,3,9,no,frecuencia_insuficiente,3.0,1000.0,,,
cuadras,11,7,no,frecuencia_insuficiente,11.0,1000.0,,,
cuadrilla,8,9,no,frecuencia_insuficiente,8.0,1000.0,,,
cuadrillas,6,10,no,frecuencia_insuficiente,6.0,1000.0,,,
cuadro,65,6,no,frecuencia_insuficiente,65.0,1000.0,,,
cuadros,41,7,no,frecuencia_insuficiente,41.0,1000.0,,,
cuajo,3,5,no,frecuencia_insuficiente,3.0,1000.0,,,
cual,232,4,no,frecuencia_insuficiente,232.0,1000.0,,,
cuales,81,6,no,frecuencia_insuficiente,81.0,1000.0,,,
cualidad,7,8,no,frecuencia_insuficiente,7.0,1000.0,,,
cualidades,19,10,no,frecuencia_insuficiente,19.0,1000.0,,,
cualitativo,2,11,no,frecuencia_insuficiente,2.0,1000.0,,,
cualquier,292,9,no,frecuencia_insuficiente,292.0,1000.0,,,
cualquiera,40,10,no,frecuencia_insuficiente,40.0,1000.0,,,
cuanta,8,6,no,frecuencia_insuficiente,8.0,1000.0,,,
cuantas,15,7,no,frecuencia_insuficiente,15.0,1000.0,,,
cuanto,143,6,no,frecuencia_insuficiente,143.0,1000.0,,,
cuantos,25,7,no,frecuencia_insuficiente,25.0,1000.0,,,
cuarenta,108,8,no,frecuencia_insuficiente,108.0,1000.0,,,
cuarta,106,6,no,frecuencia_insuficiente,106.0,1000.0,,,
cuartel,42,7,no,frecuencia_insuficiente,42.0,1000.0,,,
cuarteles,7,9,no,frecuencia_insuficiente,7.0,1000.0,,,
cuarteto,19,8,no,frecuencia_insuficiente,19.0,1000.0,,,
cuartetos,3,9,no,frecuencia_insuficiente,3.0,1000.0,,,
cuarto,168,6,no,frecuencia_insuficiente,168.0,1000.0,,,
cuartos,40,7,no,frecuencia_insuficiente,40.0,1000.0,,,
cuarzo,8,6,no,frecuencia_insuficiente,8.0,1000.0,,,
cuaternario,4,11,no,frecuencia_insuficiente,4.0,1000.0,,,
cuatrocientos,8,13,no,frecuencia_insuficiente,8.0,1000.0,,,
cuatros,4,7,no,frecuencia_insuficiente,4.0,1000.0,,,
cuba,122,4,no,frecuencia_insuficiente,122.0,1000.0,,,
cubana,31,6,no,frecuencia_insuficiente,31.0,1000.0,,,
cubanas,5,7,no,frecuencia_insuficiente,5.0,1000.0,,,
cubano,26,6,no,frecuencia_insuficiente,26.0,1000.0,,,
cubanos,10,7,no,frecuencia_insuficiente,10.0,1000.0,,,
cubierta,203,8,no,frecuencia_insuficiente,203.0,1000.0,,,
cubiertas,49,9,no,frecuencia_insuficiente,49.0,1000.0,,,
cubierto,62,8,no,frecuencia_insuficiente,62.0,1000.0,,,
cubiertos,42,9,no,frecuencia_insuficiente,42.0,1000.0,,,
cubismo,5,7,no,frecuencia_insuficiente,5.0,1000.0,,,
cubo,10,4,no,frecuencia_insuficiente,10.0,1000.0,,,
cubos,8,5,no,frecuencia_insuficiente,8.0,1000.0,,,
cubre,45,5,no,frecuencia_insuficiente,45.0,1000.0,,,
cubren,30,6,no,frecuencia_insuficiente,30.0,1000.0,,,
cubriendo,7,9,no,frecuencia_insuficiente,7.0,1000.0,,,
cubrir,23,6,no,frecuencia_insuficiente,23.0,1000.0,,,
cubrirlo,5,8,no,frecuencia_insuficiente,5.0,1000.0,,,
cubrirse,3,8,no,frecuencia_insuficiente,3.0,1000.0,,,
cubrió,6,6,no,frecuencia_insuficiente,6.0,1000.0,,,
cubría,13,6,no,frecuencia_insuficiente,13.0,1000.0,,,
cubrían,5,7,no,frecuencia_insuficiente,5.0,1000.0,,,
cuca,2,4,no,frecuencia_insuficiente,2.0,1000.0,,,
cucarachas,3,10,no,frecuencia_insuficiente,3.0,1000.0,,,
cuchara,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
cuchilla,6,8,no,frecuencia_insuficiente,6.0,1000.0,,,
cuchillo,31,8,no,frecuencia_insuficiente,31.0,1000.0,,,
cuchillos,3,9,no,frecuencia_insuficiente,3.0,1000.0,,,
cuele,3,5,no,frecuencia_insuficiente,3.0,1000.0,,,
cuelga,11,6,no,frecuencia_insuficiente,11.0,1000.0,,,
cuello,65,6,no,frecuencia_insuficiente,65.0,1000.0,,,
cuenca,113,6,no,frecuencia_insuficiente,113.0,1000.0,,,
cuencas,9,7,no,frecuencia_insuficiente,9.0,1000.0,,,
cuenco,8,6,no,frecuencia_insuficiente,8.0,1000.0,,,
cuenta,817,6,no,frecuencia_insuficiente,817.0,1000.0,,,
cuentan,62,7,no,frecuencia_insuficiente,62.0,1000.0,,,
cuentas,21,7,no,frecuencia_insuficiente,21.0,1000.0,,,
cuente,6,6,no,frecuencia_insuficiente,6.0,1000.0,,,
cuentes,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
cuento,50,6,no,frecuencia_insuficiente,50.0,1000.0,,,
cuentos,69,7,no,frecuencia_insuficiente,69.0,1000.0,,,
cuerda,32,6,no,frecuencia_insuficiente,32.0,1000.0,,,
cuerdas,29,7,no,frecuencia_insuficiente,29.0,1000.0,,,
cuerdo,11,6,no,frecuencia_insuficiente,11.0,1000.0,,,
cuerno,12,6,no,frecuencia_insuficiente,12.0,1000.0,,,
cuernos,15,7,no,frecuencia_insuficiente,15.0,1000.0,,,
cuero,26,5,no,frecuencia_insuficiente,26.0,1000.0,,,
cuerpo,371,6,no,frecuencia_insuficiente,371.0,1000.0,,,
cuerpos,94,7,no,frecuencia_insuficiente,94.0,1000.0,,,
cuervo,4,6,no,frecuencia_insuficiente,4.0,1000.0,,,
cuervos,11,7,no,frecuencia_insuficiente,11.0,1000.0,,,
cuesta,31,6,no,frecuencia_insuficiente,31.0,1000.0,,,
cuestiona,3,9,no,frecuencia_insuficiente,3.0,1000.0,,,
cuestionable,3,12,no,frecuencia_insuficiente,3.0,1000.0,,,
cuestionada,7,11,no,frecuencia_insuficiente,7.0,1000.0,,,
cuestionar,3,10,no,frecuencia_insuficiente,3.0,1000.0,,,
cuestiones,32,10,no,frecuencia_insuficiente,32.0,1000.0,,,
cuestión,57,8,no,frecuencia_insuficiente,57.0,1000.0,,,
cueva,48,5,no,frecuencia_insuficiente,48.0,1000.0,,,
cuevas,40,6,no,frecuencia_insuficiente,40.0,1000.0,,,
cuida,15,5,no,frecuencia_insuficiente,15.0,1000.0,,,
cuidado,102,7,no,frecuencia_insuficiente,102.0,1000.0,,,
cuidador,5,8,no,frecuencia_insuficiente,5.0,1000.0,,,
cuidados,8,8,no,frecuencia_insuficiente,8.0,1000.0,,,
cuidadosa,4,9,no,frecuencia_insuficiente,4.0,1000.0,,,
cuidadosamente,8,14,no,frecuencia_insuficiente,8.0,1000.0,,,
cuidadoso,4,9,no,frecuencia_insuficiente,4.0,1000.0,,,
cuidan,4,6,no,frecuencia_insuficiente,4.0,1000.0,,,
cuidar,13,6,no,frecuencia_insuficiente,13.0,1000.0,,,
cuidate,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
cuide,7,5,no,frecuencia_insuficiente,7.0,1000.0,,,
cuitado,7,7,no,frecuencia_insuficiente,7.0,1000.0,,,
cuitas,3,6,no,frecuencia_insuficiente,3.0,1000.0,,,
culata,4,6,no,frecuencia_insuficiente,4.0,1000.0,,,
culebra,6,7,no,frecuencia_insuficiente,6.0,1000.0,,,
culiacán,2,8,no,frecuencia_insuficiente,2.0,1000.0,,,
culinaria,4,9,no,frecuencia_insuficiente,4.0,1000.0,,,
culmina,5,7,no,frecuencia_insuficiente,5.0,1000.0,,,
culminante,4,10,no,frecuencia_insuficiente,4.0,1000.0,,,
culminó,7,7,no,frecuencia_insuficiente,7.0,1000.0,,,
culo,26,4,no,frecuencia_insuficiente,26.0,1000.0,,,
culpa,35,5,no,frecuencia_insuficiente,35.0,1000.0,,,
culpable,39,8,no,frecuencia_insuficiente,39.0,1000.0,,,
culpables,7,9,no,frecuencia_insuficiente,7.0,1000.0,,,
culta,4,5,no,frecuencia_insuficiente,4.0,1000.0,,,
cultiva,38,7,no,frecuencia_insuficiente,38.0,1000.0,,,
cultivada,13,9,no,frecuencia_insuficiente,13.0,1000.0,,,
cultivadas,13,10,no,frecuencia_insuficiente,13.0,1000.0,,,
cultivado,13,9,no,frecuencia_insuficiente,13.0,1000.0,,,
cultivados,6,10,no,frecuencia_insuficiente,6.0,1000.0,,,
cultivan,20,8,no,frecuencia_insuficiente,20.0,1000.0,,,
cultivar,13,8,no,frecuencia_insuficiente,13.0,1000.0,,,
cultivares,5,10,no,frecuencia_insuficiente,5.0,1000.0,,,
cultivaron,3,10,no,frecuencia_insuficiente,3.0,1000.0,,,
cultivo,77,7,no,frecuencia_insuficiente,77.0,1000.0,,,
cultivos,66,8,no,frecuencia_insuficiente,66.0,1000.0,,,
cultivó,8,7,no,frecuencia_insuficiente,8.0,1000.0,,,
culto,73,5,no,frecuencia_insuficiente,73.0,1000.0,,,
cultos,6,6,no,frecuencia_insuficiente,6.0,1000.0,,,
cultura,239,7,no,frecuencia_insuficiente,239.0,1000.0,,,
cultural,174,8,no,frecuencia_insuficiente,174.0,1000.0,,,
culturales,87,10,no,frecuencia_insuficiente,87.0,1000.0,,,
culturas,36,8,no,frecuencia_insuficiente,36.0,1000.0,,,
culver,4,6,no,frecuencia_insuficiente,4.0,1000.0,,,
cum,7,3,no,frecuencia_insuficiente,7.0,1000.0,,,
cumaná,7,6,no,frecuencia_insuficiente,7.0,1000.0,,,
cumbia,6,6,no,frecuencia_insuficiente,6.0,1000.0,,,
cumbre,38,6,no,frecuencia_insuficiente,38.0,1000.0,,,
cumbres,14,7,no,frecuencia_insuficiente,14.0,1000.0,,,
cumpla,6,6,no,frecuencia_insuficiente,6.0,1000.0,,,
cumple,31,6,no,frecuencia_insuficiente,31.0,1000.0,,,
cumpleaños,40,10,no,frecuencia_insuficiente,40.0,1000.0,,,
cumplen,18,7,no,frecuencia_insuficiente,18.0,1000.0,,,
cumplida,5,8,no,frecuencia_insuficiente,5.0,1000.0,,,
cumplido,4,8,no,frecuencia_insuficiente,4.0,1000.0,,,
cumpliendo,8,10,no,frecuencia_insuficiente,8.0,1000.0,,,
cumplieron,3,10,no,frecuencia_insuficiente,3.0,1000.0,,,
cumplimiento,12,12,no,frecuencia_insuficiente,12.0,1000.0,,,
cumplir,48,7,no,frecuencia_insuficiente,48.0,1000.0,,,
cumplirlo,8,9,no,frecuencia_insuficiente,8.0,1000.0,,,
cumplirse,5,9,no,frecuencia_insuficiente,5.0,1000.0,,,
cumplió,35,7,no,frecuencia_insuficiente,35.0,1000.0,,,
cumplía,4,7,no,frecuencia_insuficiente,4.0,1000.0,,,
cuna,11,4,no,frecuencia_insuficiente,11.0,1000.0,,,
cundinamarca,3,12,no,frecuencia_insuficiente,3.0,1000.0,,,
cunningham,5,10,no,frecuencia_insuficiente,5.0,1000.0,,,
cuota,8,5,no,frecuencia_insuficiente,8.0,1000.0,,,
cup,11,3,no,frecuencia_insuficiente,11.0,1000.0,,,
cupo,7,4,no,frecuencia_insuficiente,7.0,1000.0,,,
cura,63,4,no,frecuencia_insuficiente,63.0,1000.0,,,
curación,6,8,no,frecuencia_insuficiente,6.0,1000.0,,,
curado,6,6,no,frecuencia_insuficiente,6.0,1000.0,,,
curador,6,7,no,frecuencia_insuficiente,6.0,1000.0,,,
curar,15,5,no,frecuencia_insuficiente,15.0,1000.0,,,
curarle,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
curarlos,3,8,no,frecuencia_insuficiente,3.0,1000.0,,,
curas,7,5,no,frecuencia_insuficiente,7.0,1000.0,,,
curativo,3,8,no,frecuencia_insuficiente,3.0,1000.0,,,
curazao,8,7,no,frecuencia_insuficiente,8.0,1000.0,,,
curia,3,5,no,frecuencia_insuficiente,3.0,1000.0,,,
curicó,5,6,no,frecuencia_insuficiente,5.0,1000.0,,,
curiosa,13,7,no,frecuencia_insuficiente,13.0,1000.0,,,
curiosamente,20,12,no,frecuencia_insuficiente,20.0,1000.0,,,
curiosidad,23,10,no,frecuencia_insuficiente,23.0,1000.0,,,
curioso,15,7,no,frecuencia_insuficiente,15.0,1000.0,,,
curiosos,4,8,no,frecuencia_insuficiente,4.0,1000.0,,,
curitiba,4,8,no,frecuencia_insuficiente,4.0,1000.0,,,
cursa,7,5,no,frecuencia_insuficiente,7.0,1000.0,,,
cursaba,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
cursar,6,6,no,frecuencia_insuficiente,6.0,1000.0,,,
cursiva,14,7,no,frecuencia_insuficiente,14.0,1000.0,,,
curso,103,5,no,frecuencia_insuficiente,103.0,1000.0,,,
cursos,87,6,no,frecuencia_insuficiente,87.0,1000.0,,,
cursó,111,5,no,frecuencia_insuficiente,111.0,1000.0,,,
curtis,7,6,no,frecuencia_insuficiente,7.0,1000.0,,,
curva,22,5,no,frecuencia_insuficiente,22.0,1000.0,,,
curvadas,5,8,no,frecuencia_insuficiente,5.0,1000.0,,,
curvado,6,7,no,frecuencia_insuficiente,6.0,1000.0,,,
curvados,4,8,no,frecuencia_insuficiente,4.0,1000.0,,,
curvas,16,6,no,frecuencia_insuficiente,16.0,1000.0,,,
curvatura,3,9,no,frecuencia_insuficiente,3.0,1000.0,,,
curvo,7,5,no,frecuencia_insuficiente,7.0,1000.0,,,
curvos,4,6,no,frecuencia_insuficiente,4.0,1000.0,,,
cusco,5,5,no,frecuencia_insuficiente,5.0,1000.0,,,
custodia,16,8,no,frecuencia_insuficiente,16.0,1000.0,,,
custodiada,6,10,no,frecuencia_insuficiente,6.0,1000.0,,,
custodio,4,8,no,frecuencia_insuficiente,4.0,1000.0,,,
cut,4,3,no,frecuencia_insuficiente,4.0,1000.0,,,
cuthbert,2,8,no,frecuencia_insuficiente,2.0,1000.0,,,
cuya,56,4,no,frecuencia_insuficiente,56.0,1000.0,,,
cuyas,10,5,no,frecuencia_insuficiente,10.0,1000.0,,,
cuyo,49,4,no,frecuencia_insuficiente,49.0,1000.0,,,
cuyos,13,5,no,frecuencia_insuficiente,13.0,1000.0,,,
cuzco,4,5,no,frecuencia_insuficiente,4.0,1000.0,,,
cuál,19,4,no,frecuencia_insuficiente,19.0,1000.0,,,
cuán,3,4,no,frecuencia_insuficiente,3.0,1000.0,,,
cuándo,31,6,no,frecuencia_insuficiente,31.0,1000.0,,,
cuánta,3,6,no,frecuencia_insuficiente,3.0,1000.0,,,
cuántica,17,8,no,frecuencia_insuficiente,17.0,1000.0,,,
cuánticos,6,9,no,frecuencia_insuficiente,6.0,1000.0,,,
cuánto,30,6,no,frecuencia_insuficiente,30.0,1000.0,,,
cuántos,4,7,no,frecuencia_insuficiente,4.0,1000.0,,,
cuéllar,3,7,no,frecuencia_insuficiente,3.0,1000.0,,,
cuña,4,4,no,frecuencia_insuficiente,4.0,1000.0,,,
cuñado,8,6,no,frecuencia_insuficiente,8.0,1000.0,,,
cyrus,5,5,no,frecuencia_insuficiente,5.0,1000.0,,,
cáceres,18,7,no,frecuencia_insuficiente,18.0,1000.0,,,
cádiz,44,5,no,frecuencia_insuficiente,44.0,1000.0,,,
cálculo,20,7,no,frecuencia_insuficiente,20.0,1000.0,,,
cálculos,16,8,no,frecuencia_insuficiente,16.0,1000.0,,,
cálida,7,6,no,frecuencia_insuficiente,7.0,1000.0,,,
cálidas,16,7,no,frecuencia_insuficiente,16.0,1000.0,,,
cálido,32,6,no,frecuencia_insuficiente,32.0,1000.0,,,
cálidos,22,7,no,frecuencia_insuficiente,22.0,1000.0,,,
cáliz,24,5,no,frecuencia_insuficiente,24.0,1000.0,,,
